"title,console"
"P.K.'s Math Studio 1","psx"
"Crusaders of Might and Magic","psx"
"Driver - You Are the Wheelman","psx"
"Psybadek","psx"
"Disney's Pooh's Party Game - In Search of the Treasure","psx"
"Soviet Strike","psx"
"NBA In the Zone","psx"
"Mary-Kate and Ashley - Crush Course","psx"
"King's Field","psx"
"Grinch, The","psx"
"ISS Pro Evolution","psx"
"Elemental Gearbolt","psx"
"Math Gallery - Collection 1","psx"
"Castrol Honda Superbike Racing","psx"
"NCAA Football 2000","psx"
"Mobil 1 Rally Championship","psx"
"NCAA Football Gamebreaker","psx"
"Guardian's Crusade","psx"
"Ten Pin Alley","psx"
"Timeless Math 3 - Maya, King Jaguar's Village","psx"
"Dark Stone","psx"
"Ehrgeiz - God Bless the Ring","psx"
"Thunder Force V - Perfect System","psx"
"Strike Point","psx"
"NBA ShootOut '97","psx"
"Disney's 101 Dalmatians II - Patch's London Adventure","psx"
"Hydro Thunder","psx"
"Oddworld - Abe's Oddysee","psx"
"Fighting Force 2","psx"
"Batman Forever - The Arcade Game","psx"
"Star Wars - Episode I - Jedi Power Battles","psx"
"Pipe Dreams 3D","psx"
"FIFA 2001","psx"
"Delta Force - Urban Warfare","psx"
"FOX Sports Soccer '99","psx"
"Striker","psx"
"MTV Sports - TJ Lavin's Ultimate BMX","psx"
"Slamscape","psx"
"Bases Loaded '96 - Double Header","psx"
"Contender","psx"
"Digimon World 2","psx"
"SaGa Frontier 2","psx"
"WCW - NWO Thunder","psx"
"Einhander","psx"
"Golden Nugget","psx"
"Rugrats - Totally Angelica","psx"
"Disney-Pixar's Toy Story 2 - Buzz Lightyear to the Rescue!","psx"
"Namco Museum Vol. 3","psx"
"NASCAR '99","psx"
"Patriotic Pinball","psx"
"Rollcage","psx"
"NanoTek Warrior","psx"
"In Cold Blood","psx"
"Rugrats - Search for Reptar","psx"
"Goal Storm","psx"
"NASCAR Thunder 2003","psx"
"MLB 2001","psx"
"NCAA Final Four '99","psx"
"Syphon Filter 3","psx"
"VR Soccer '96","psx"
"Dead Ball Zone","psx"
"FIFA Soccer '97","psx"
"International Track & Field","psx"
"Rampage Through Time","psx"
"Myst","psx"
"MLB '99","psx"
"Fatal Fury - Wild Ambition","psx"
"Capcom vs. SNK - Millennium Fight 2000 Pro","psx"
"High Heat Baseball 2000","psx"
"Kurt Warner's Arena Football Unleashed","psx"
"Tetris Plus","psx"
"Bombing Islands, The","psx"
"Spec Ops - Airborne Commando","psx"
"Timeless Math 1 - Maya, Search and Rescue","psx"
"Tiger Woods PGA Tour Golf","psx"
"Tiny Tank","psx"
"One","psx"
"Populous - The Beginning","psx"
"Tekken 2","psx"
"Tony Hawk's Pro Skater","psx"
"Marvel vs. Capcom - Clash of Super Heroes","psx"
"Final Fantasy Anthology - Final Fantasy VI","psx"
"VMX Racing","psx"
"Madden NFL 2000","psx"
"Jackie Chan Stuntmaster","psx"
"Trap Gunner","psx"
"P.K.'s Place 3 - Carlos at the Races!","psx"
"Skydiving Extreme","psx"
"Ballistic","psx"
"Starblade Alpha","psx"
"Blast Lacrosse","psx"
"Rage Racer","psx"
"Army Men - Sarge's Heroes 2","psx"
"Grand Theft Auto - Mission Pack #1 - London 1969","psx"
"Point Blank 2","psx"
"Triple Play 98","psx"
"Risk","psx"
"Loaded","psx"
"Turnabout","psx"
"Final Fantasy Chronicles - Chrono Trigger","psx"
"Railroad Tycoon II","psx"
"Rugrats - Studio Tour","psx"
"NFL GameDay 98","psx"
"Floating Runner - Quest for the 7 Crystals","psx"
"K9.5 5 - The Howlywood Premiere","psx"
"FIFA Soccer 2005","psx"
"HBO Boxing","psx"
"Strikers 1945","psx"
"Lemmings","psx"
"Bottom of the Ninth '99","psx"
"BattleTanx - Global Assault","psx"
"Creative Camp","psx"
"My Disney Kitchen","psx"
"Time Crisis - Project Titan","psx"
"Demolition Racer","psx"
"Tenchu 2 - Birth of the Stealth Assassins","psx"
"Creatures","psx"
"Tomb Raider","psx"
"Calamity 1 - The Natural World","psx"
"Kileak - The DNA Imperative","psx"
"One Piece Mansion","psx"
"Armored Core","psx"
"Sesame Street Sports","psx"
"Front Mission 3","psx"
"Tecmo World Golf - Japan","psx"
"ReBoot","psx"
"Future Cop L.A.P.D.","psx"
"Interactive CD Sampler Demo Pack Vol. 07","psx"
"Mars Moose Cosmic Quest 3 - Race Through France","psx"
"T'ai Fu - Wrath of the Tiger","psx"
"Star Wars - Masters of Teras Kasi","psx"
"Shipwreckers!","psx"
"Pong - The Next Level","psx"
"NHL Face Off '97","psx"
"Mona & Moki 1 - Drive Me Wild!","psx"
"Austin Powers Pinball","psx"
"Ridge Racer","psx"
"Str.at.e.s. 3 - Title This! Title That!","psx"
"Tonka Space Station","psx"
"Adventures of Lomax","psx"
"Creatures - Raised in Space","psx"
"Timeless Jade Trade","psx"
"Bushido Blade","psx"
"Tempest X3","psx"
"Harvest Moon - Back to Nature","psx"
"Dino Crisis 2","psx"
"Vanishing Point","psx"
"Medal of Honor - Underground","psx"
"Wild 9","psx"
"Rally Cross 2","psx"
"Tom & Jerry - House Trap","psx"
"Legend of Dragoon, The","psx"
"Lego Island 2 - The Brickster's Revenge","psx"
"Timeless Math 7 - Rover Recovery","psx"
"Cardinal Syn","psx"
"NCAA March Madness '99","psx"
"Liquid Books Adventure 6 - The Wandering Path","psx"
"Dune 2000","psx"
"Spice World","psx"
"Sabrina the Teenage Witch - A Twitch in Time!","psx"
"Super Puzzle Fighter II Turbo","psx"
"Tomb Raider III - Adventures of Lara Croft","psx"
"Formula 1 '98","psx"
"Command & Conquer - Red Alert - Retaliation","psx"
"Monsterseed","psx"
"Revolution X","psx"
"Lunar 2 - Eternal Blue Complete","psx"
"Klonoa - Door to Phantomile","psx"
"Tomba!","psx"
"Battle Arena Toshinden","psx"
"Evil Dead - Hail to the King","psx"
"NBA Live 2002","psx"
"Hive, The","psx"
"Super Bubble Pop","psx"
"Crash Bandicoot","psx"
"Zoop - America's Largest Killer of Time!","psx"
"Chocobo Racing","psx"
"Rally Cross","psx"
"NBA Live 98","psx"
"Burstrick Wake Boarding!!","psx"
"Metal Gear Solid","psx"
"Hugo - The Evil Mirror","psx"
"Grind Session","psx"
"Final Fantasy IX","psx"
"K-1 - The Arena Fighters - In the Red Corner","psx"
"Power Spike - Pro Beach Volleyball","psx"
"Tail Concerto","psx"
"Liquid Books Adventure 2 - Amrita's Trees and Cerdito and the Coyote","psx"
"Star Ocean - The Second Story","psx"
"WipEout XL","psx"
"NHL Face Off 98","psx"
"Sheep","psx"
"Boxing","psx"
"Test Drive 6","psx"
"Sydney 2000","psx"
"Raycrisis - Series Termination","psx"
"MechWarrior 2 - 31st Century Combat","psx"
"Broken Sword - The Shadow of the Templars","psx"
"Disney's The Emperor's New Groove","psx"
"007 - The World Is Not Enough","psx"
"Gauntlet Legends","psx"
"Crow, The - City of Angels","psx"
"Machine Hunter","psx"
"Point Blank 3","psx"
"Bomberman Party Edition","psx"
"TNN Hardcore 4x4","psx"
"Putter Golf","psx"
"PGA Tour 97","psx"
"Jet Moto 2","psx"
"South Park Rally","psx"
"Fighting Force","psx"
"Space Griffon VF-9","psx"
"Shockwave - Operation Jumpgate","psx"
"CTR - Crash Team Racing","psx"
"Formula 1","psx"
"Wild Arms","psx"
"Spec Ops - Covert Assault","psx"
"Virtual Kasparov","psx"
"FIFA - Road to World Cup '98","psx"
"Warhammer - Dark Omen","psx"
"FIFA 99","psx"
"Psychic Force","psx"
"Triple Play 97","psx"
"Allied General","psx"
"Spin Jam","psx"
"Grand Tour Racing '98, Car and Driver Presents","psx"
"Dance Dance Revolution - USA Mix","psx"
"R-Types","psx"
"Pocket Fighter","psx"
"Dave Mirra Freestyle BMX - Maximum Remix","psx"
"Treasures of the Deep","psx"
"NCAA Basketball Final Four '97","psx"
"Transformers - Beast Wars - Transmetals","psx"
"Herc's Adventures","psx"
"NHL 98","psx"
"Dora the Explorer - Barnyard Buddies","psx"
"Fisherman's Bait","psx"
"NBA Hoopz","psx"
"Impact Racing","psx"
"Mr. Driller","psx"
"Colony Wars - Red Sun","psx"
"Eagle One - Harrier Attack","psx"
"NHL Breakaway '98","psx"
"Breath of Fire III","psx"
"International Track & Field 2000","psx"
"Monster Rancher - Battle Card - Episode II","psx"
"Disney's Toy Story Racer","psx"
"Rescue Copter","psx"
"Star Wars - Dark Forces","psx"
"Star Sweep","psx"
"PSone Demo Disc","psx"
"Walt Disney World Quest - Magical Racing Tour","psx"
"Racing","psx"
"Irritating Stick","psx"
"Vagrant Story","psx"
"Blast Chamber","psx"
"NHL 99","psx"
"Duke Nukem - Land of the Babes","psx"
"Thrasher - Skate & Destroy","psx"
"Hot Shots Golf 2","psx"
"Rhapsody - A Musical Adventure","psx"
"Bugs Bunny - Lost in Time","psx"
"Golden Tee Golf - Peter Jacobsen's","psx"
"Gundam Battle Assault","psx"
"Ball Breakers","psx"
"Kazmania 2 - Chaos in Kazmania","psx"
"Olympic Soccer","psx"
","psx"
"League of Pain - Professional Underground","psx"
"Return Fire","psx"
"Pink Panther - Pinkadelic Pursuit","psx"
"Battle Stations","psx"
"Gex - Enter the Gecko","psx"
"Army Men - World War - Team Assault","psx"
"Akuji the Heartless","psx"
"Mortal Kombat 3","psx"
"Disney's Hercules","psx"
"Battlesport","psx"
"Mars Moose Adventure - Walkabout 3 - World Sports Day","psx"
"Asteroids","psx"
"Clock Tower II - The Struggle Within","psx"
"InuYasha - A Feudal Fairy Tale","psx"
"Timeless Math 5 - Space Flight Rescue","psx"
"Arcade's Greatest Hits - The Atari Collection 2","psx"
"NBA Live 96","psx"
"Destruction Derby","psx"
"Twisted Metal 4","psx"
"Heart of Darkness","psx"
"Micro Machines V3","psx"
"VR Golf '97","psx"
"Championship Motocross 2001 - Ricky Carmichael","psx"
"Moto Racer 2","psx"
"Need for Speed - Porsche Unleashed","psx"
"Renegade Racers","psx"
"Nuclear Strike","psx"
"Newman-Haas Racing","psx"
"MTV Music Generator","psx"
"Dreamworks's Gold & Glory - The Road to El Dorado","psx"
"Mega Man 8","psx"
"Thousand Arms","psx"
"V-Tennis","psx"
"Legend of Legaia","psx"
"Frank Thomas Big Hurt Baseball","psx"
"Strider 2","psx"
"Sorcerer's Maze","psx"
"Steel Harbinger","psx"
"Bass Landing","psx"
"Invasion From Beyond - B-Movie","psx"
